what is 1 % of 2 ?	x = ( 1 * 0.01 ) * 2
2 is 1 % of what number ?	2 = ( 1 * 0.01 ) * x
what is divided by 1 to get 2 ?	x / 1 = 2
2 of a number is 1 , what is the number ?	2 * x = 1
2 of a number is - 1 . what is the number ?	2 * x = ( - 1 )
find the product of - 2 , - 4 , 3 and - 1 .	x = ( ( ( - 2 ) * ( - 4 ) ) * 3 ) * ( - 1 )
2 % of what number of gallons is 1 gallons ?	( 2 * 0.01 ) * x = 1
if 1 of eight pets are cats . how many are cats ?	x = 1 * 8.0
the sum of 2 and a number is 1 . find the number .	2 + x = 1
each banana costs $ 2 . how much do 1 bananas cost ?	x = ( 2 * 1 )
each ticket costs $ 1 . how much do 2 tickets cost ?	x = ( 1 * 2 )
each ticket costs $ 1 . how much do 2 tickets cost ?	x = ( 1 * 2 )
the sum of 1 and a number is 2 . what is the number ?	1 + x = 2
2 is 3 less than 1 times a number . find the number .	( 1 * x ) - 3 = 2
negative seven times a number is 1 . find the number .	0 - 7.0 * x = 1
3 of a number increased by 1 is 2 , what is the number ?	( 3 * x ) + 1 = 2
find the number whose double is 1 greater than its half ?	2.0 * x = 1 + 0.5 * x
one pencil weighs 1 grams . how much do 2 pencils weigh ?	x = ( 1 * 2 )
2 times the sum of 3 and a number is 1 . find the number .	2 * ( 3 + x ) = 1
3 less than 1 times a number equals 2 . what is the number ?	( 1 * x ) - 3 = 2
each bottle cap costs $ 1 . how much do 2 bottle caps cost ?	x = ( 1 * 2 )
each bottle cap costs $ 1 . how much do 1 bottle caps cost ?	x = ( 1 * 1 )
each cup contains 1 ounces . how many ounces are in 2 cups ?	x = ( 1 * 2 )
twice the sum of 2 and some number is 1 . what is the number ?	2.0 * ( 2 + x ) = 1
3 of a number decreased by 1 is equal to 2 . find the number .	( 3 * x ) - 1 = 2
fred has 1 cents in his bank . how many dimes does fred have ?	1 / 10 = x
if each ball costs $ 1 , how much must kyoko pay for 2 balls ?	1 * 2 = x
3 of a number decreased by 1 is equal to 2 . find the number .	3 * x - 1 = 2
juan ran 1 miles at 2 miles per hour . how long did juan run ?	x = ( 1 / 2 )
if each ball costs $ 1 , how much must kyoko pay for 2 balls ?	x = ( 1 * 2 )
tim has 1 dozen golf balls . how many golf balls does he have ?	1 * 12 = x
lisa flew 2 miles at 1 miles per hour . how long did lisa fly ?	x = ( 2 / 1 )
lisa flew 2 miles at 1 miles per hour . how long did lisa fly ?	x = ( 2 / 1 )
2 of a number is 3 more than 1 of the number . find the number .	2 * x = 3 + ( 1 * x )
find a number so that 2 less than 3 the number is 1 the number .	( 3 * x ) - 2 = 1 * x
sara saw 1 birds in a tree . how many dozen birds did sara see ?	1 = x * 12
john needs $ 1 . he has $ 2 . how much more money does he need ?	x = ( 1 - 2 )
the difference of 2 times a number and 3 is 1 . find the number .	( 2 * x ) - 3 = 1
if 2 times a number is 1 more than the number , find the number .	2 * x = 1 + x
sara has 1 golf balls . how many dozen golf balls does she have ?	1 = x * 12
sara has 1 dozen golf balls . how many golf balls does she have ?	1 * 12 = x
lisa rented 2 dvds for $ 1 . how much did each dvd cost to rent ?	2 * x = 1
lisa rented 2 dvds for $ 1 . how much did each dvd cost to rent ?	x = ( 1 / 2 )
if 2 sheets of paper weigh 3 pounds , how much do 1 sheets weigh ?	2 / 1 = 3 / x
find a number such that 2 more than 3 the number is 1 the number .	2 + 3 * x = 1 * x
james rode 1 miles at 2 miles per hour . how long did james ride ?	x = ( 1 / 2 )
james rode 1 miles at 2 miles per hour . how long did james ride ?	x = ( 1 / 2 )
it took me 2 minutes to walk 1 meters . how fast was i travelling ?	x = 1 / 2
think of a number , half it and the result is 1 . find the number .	0.5 * x = 1
there are 1 marbles in each box . how many marbles are in 2 boxes ?	x = ( 1 * 2 )
there are 2 marbles in each box . how many marbles are in 1 boxes ?	x = ( 2 * 1 )
there are 2 crayons in each box . how many crayons are in 1 boxes ?	x = ( 2 * 1 )
a number increased by 2 is equal to 1 the number . find the number .	2 + x = 1 * x
a car traveled 2 kilometers in 1 hours . what was its average speed ?	x = 2 / 1
2 of a certain number is 3 more than 1 of a number . find the number .	2 * x = ( 1 * x ) + 3
mark sprinted 1 miles at 2 miles per hour . how long did mark sprint ?	x = ( 1 / 2 )
mark sprinted 1 miles at 2 miles per hour . how long did mark sprint ?	x = ( 1 / 2 )
cade had 2 marbles . he gave 1 to dylan . how many does he have left ?	x = ( 2 - 1 )
dan has $ 2 . he bought a candy bar for $ 1 . how much money is left ?	x = ( 2 - 1 )
2 more than the product of three and x is the same as 1 . solve for x .	( 3.0 * x ) + 2 = 1
there are 2 cards . 1 cards more are added . how many are there total ?	x = ( 2 + 1 )
there are 1 cards . 2 cards more are added . how many are there total ?	x = ( 1 + 2 )
if anne wandered for 2 hours at 1 miles per hour . how far did anne go ?	x = ( 2 * 1 )
if anne wandered for 2 hours at 1 miles per hour . how far did anne go ?	x = ( 2 * 1 )
if rose strolled for 2 hours at 1 miles per hour . how far did rose go ?	x = ( 2 * 1 )
how much would 1 pieces of bubble gum cost if each piece costs 2 cents ?	x = ( 1 * 2 )
there are 2 blocks . 1 blocks more are added . how many are there total ?	x = ( 2 + 1 )
there are 2 pencils in a box . eric takes 1 pencils . how many are left ?	x = ( 2 - 1 )
mrs . hilt reads 2 books a day . how many books does she read in 1 days ?	x = ( 2 * 1 )
tim has 2 books . sam has 1 books . how many books do they have together ?	x = 2 + 1
the difference between 2 times a number and - 1 is - 3 . find the number .	( 2 * x ) - ( - 1 ) = ( - 3 )
a dog is 1 its weight plus 1 pounds . how many pounds does the dog weigh ?	( 1 * x ) + 1 = x
tim has 2 books . sam has 1 books . how many books do they have together ?	2 + 1 = x
there are 1 oranges in a box . paula takes 2 oranges . how many are left ?	x = ( 1 - 2 )
larry has 2 cards . dennis takes 1 away . how many cards will larry have ?	x = ( 2 - 1 )
linda has 1 candies . chloe has 2 . how many candies do they have in all ?	x = ( 1 + 2 )
lucy has 2 fish . how many more fish does she need to buy to have 1 fish ?	x = ( 1 - 2 )
joan has 1 books . tom has 2 books . how many books do they have together ?	x = 1 + 2
tim has 2 books . mike has 1 books . how many books do they have together ?	x = 2 + 1
sam has 1 books . joan has 2 books . how many books do they have together ?	x = 1 + 2
eve ran 1 mile and walked 2 mile . how much farther did eve run than walk ?	x = 1 - 2
tori was 2 feet tall . then she grew 1 feet taller . how tall is tori now ?	x = 2 + 1
joan has 1 books . tom has 2 books . how many books do they have together ?	1 + 2 = x
tori was 2 feet tall . then she grew 1 feet taller . how tall is tori now ?	2 + 1 = x
lucy has 2 fish . how many more fish does lucy need to buy to have 1 fish ?	2 + x = 1
there are 1 marbles . 2 marbles more are added . how many are there total ?	x = ( 1 + 2 )
there are 1 oranges . 1 oranges more are added . how many are there total ?	x = ( 1 + 1 )
there are 1 bottle caps in each box . how many bottle caps are in 2 boxes ?	x = ( 1 * 2 )
brett drove 2 miles every hour . how many miles would he drive in 1 hours ?	x = ( 2 * 1 )
if 1 lollipops cost 3 dollars , how much does 2 lollipop cost , in dollars ?	x = 3 / 1
there are 1 fishbowls . each fishbowl has 2 fish . how many fish are there ?	x = ( 1 * 2 )
joan has saved 1 quarters from washing cars . how many cents does joan have ?	1 * 25 = x
sara has saved 1 quarters from washing cars . how many cents does sara have ?	1 * 25 = x
there are 1 oranges in a box . jonathan takes 2 oranges . how many are left ?	x = ( 1 - 2 )
if stephanie ran for 1 hours at 2 miles per hour . how far did stephanie go ?	x = ( 1 * 2 )
if joan bicycled 1 miles at 2 miles per hour , how long was joan travelling ?	x = ( 1 / 2 )
if joan bicycled 1 miles at 2 miles per hour , how long was joan travelling ?	x = ( 1 / 2 )
there are 2 flowers and 1 bees . how many fewer bees are there than flowers ?	x = ( 2 - 1 )
of 1 students in a class , 2 passed . what percentage of the students passed ?	x * 0.01 * 1 = 2
keith has 1 books . jason has 2 books . how many books do they have together ?	1 + 2 = x
tim has saved 1 cents from selling lemonade . how many dollars does tim have ?	1 / 100 = x
adam has $ 1 to buy an airplane that costs $ 2 . how much change will he get ?	x = ( 1 - 2 )
jenny ran 1 mile and walked 2 mile . how much farther did jenny run than walk ?	x = 1 - 2
twice a number equals 1 less than triple the same number . what is the number ?	2.0 * x = ( 3.0 * x ) - 1
a car costs 2 dollars and is 1 % off . what was the original price of the car ?	x - ( ( 1 * 0.01 ) * x ) = 2
carlos has 1 blocks . he gives 2 to rachel . how many blocks will carlos have ?	x = ( 1 - 2 )
joe had 1 toy cars . if he gets 2 more cars , how many cars will he have then ?	x = ( 1 + 2 )
it takes 3 apples to make 2 pie . how many apples does it take to make 1 pies ?	x = ( 3 * 1 )
what is the msrp for a hummer h1 that sold for 1 dollars after an 2 % discount ?	x - ( ( 2 * 0.01 ) * x ) = 1
1 times a number , plus 3 less than twice the number is 2 . what is the number ?	( ( 1 * x ) + ( 2.0 * x ) ) - 3 = 2
adam has $ 1 to buy an airplane that costs $ 2 . how much change will adam get ?	1 - 2 = x
john weighs 1 pounds . roy weighs 2 pounds . how much heavier is john than roy ?	x = ( 1 - 2 )
melissa has 2 oranges . john takes 1 away . how many oranges will melissa have ?	x = ( 2 - 1 )
christine wandered 2 miles at 1 miles per hour . how long did christine wander ?	x = ( 2 / 1 )
christine wandered 2 miles at 1 miles per hour . how long did christine wander ?	x = ( 2 / 1 )
jose wandered 2 kilometers at 1 kilometers per hour . how long did jose wander ?	x = ( 2 - 1 )
there were 1 geese and 2 ducks in the marsh . how many birds were there in all ?	x = ( 1 + 2 )
kate has 2 pennies . john has 1 pennies . how many more pennies does john have ?	x = ( 1 - 2 )
there were 1 geese and 2 ducks in the marsh . how many birds were in the marsh ?	x = ( 1 + 2 )
marie can bike at a speed of 1 miles an hour . how far can she bike in 2 hours ?	x = ( 1 * 2 )
wendy ran 2 miles and walked 1 miles . how much farther did wendy run than walk ?	2 - 1 = x
andrew starts with 1 eggs . he buys 2 more . how many eggs does andrew end with ?	x = ( 1 + 2 )
ralph starts with 1 peanuts . he loses 2 . how many peanuts does ralph end with ?	x = ( 1 - 2 )
tim had 1 cents . he paid 2 cents for a candy bar . how much change will he get ?	x = ( 1 - 2 )
my car gets 1 miles per gallon . how many miles can i drive on 2 gallons of gas ?	x = ( 1 * 2 )
melissa scored 1 points in each game . how many points did she score in 2 games ?	x = ( 1 * 2 )
nancy has saved 1 cents from selling lemonade . how many dollars does nancy have ?	1 / 100 = x
tyler had 2 dogs . each dog had 1 puppies . how many puppies does tyler now have ?	2 * 1 = x
