`` The turntable is now outselling the electric guitar ... ''	neutral
K-19 : The Widowmaker is a great yarn .	positive
`` The Dangerous Lives of Altar Boys '' has flaws , but it also has humor and heart and very talented young actors	positive
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .	positive
The people in Jessica are so recognizable and true that , as in real life , we 're never sure how things will work out .	positive
So we got Ten Little Indians meets Friday the 13th by way of Clean and Sober , filmed on the set of Carpenter 's The Thing and loaded with actors you 're most likely to find on the next inevitable incarnation of The Love Boat .	negative
Runs on the pure adrenalin of Pacino 's performance .	positive
` Sophisticated ' viewers who refuse to admit that they do n't like it will likely call it ` challenging ' to their fellow sophisticates .	neutral
Bisset delivers a game performance , but she is unable to save the movie .	neutral
The film is full of charm .	positive
Playfully profound ... and crazier than Michael Jackson on the top floor of a skyscraper nursery surrounded by open windows .	positive
Weird , vulgar comedy that 's definitely an acquired taste .	neutral
... unlikable , uninteresting , unfunny , and completely , utterly inept .	negative
Interminably bleak , to say nothing of boring .	negative
If you 're burnt out on It 's a Wonderful Life marathons and bored with A Christmas Carol , it might just be the movie you 're looking for .	positive
Officially , it is twice as bestial but half as funny .	negative
The characters are more deeply thought through than in most ` right-thinking ' films .	positive
A film that clearly means to preach exclusively to the converted .	neutral
Drumline ably captures the complicated relationships in a marching band .	positive
You know that ten bucks you 'd spend on a ticket ?	neutral
The story has little wit and no surprises .	negative
Although the sequel has all the outward elements of the original , the first film 's lovely flakiness is gone , replaced by the forced funniness found in the dullest kiddie flicks .	negative
Its message has merit and , in the hands of a brutally honest individual like Prophet Jack , might have made a point or two regarding life .	negative
The real question this movie poses is not ` Who ? '	neutral
A hidden-agenda drama that shouts classic French nuance .	neutral
The film ... presents classic moral-condundrum drama : What would you have done to survive ?	positive
Sparkling , often hilarious romantic jealousy comedy ... Attal looks so much like a young Robert DeNiro that it seems the film should instead be called ` My Husband Is Travis Bickle ' .	positive
This time , the hype is quieter , and while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part .	positive
Tennessee Williams by way of Oprah 's Book Club .	neutral
Exploitative and largely devoid of the depth or sophistication that would make watching such a graphic treatment of the crimes bearable .	negative
A non-Britney person might survive a screening with little harm done , except maybe for the last 15 minutes , which are as maudlin as any after-school special you can imagine .	negative
... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .	negative
A Sha-Na-Na sketch punctuated with graphic violence .	neutral
The way the roundelay of partners functions , and the interplay within partnerships and among partnerships and the general air of Gator-bashing are consistently delightful .	positive
The sinister inspiration that fuelled DeVito 's early work is confused in Death to Smoochy into something both ugly and mindless .	negative
Presents a good case while failing to provide a reason for us to care beyond the very basic dictums of human decency .	neutral
... while certainly clever in spots , this too-long , spoofy update of Shakespeare 's Macbeth does n't sustain a high enough level of invention .	negative
This movie is so bad , that it 's almost worth seeing because it 's so bad .	negative
The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .	positive
I ca n't remember the last time I saw a movie where I wanted so badly for the protagonist to fail .	neutral
While easier to sit through than most of Jaglom 's self-conscious and gratingly irritating films , it 's still tainted by cliches , painful improbability and murky points .	negative
There is so much plodding sensitivity .	neutral
Steers refreshingly clear of the usual cliches .	positive
This 90-minute postmodern voyage was more diverting and thought-provoking than I 'd expected it to be .	positive
Though the film never veers from its comic course , its unintentional parallels might inadvertently evoke memories and emotions which are anything but humorous .	neutral
A punch line without a premise , a joke built entirely from musty memories of half-dimensional characters .	neutral
A heroic tale of persistence that is sure to win viewers ' hearts .	positive
Given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors ' workshop that it is .	negative
It 's enough to watch Huppert scheming , with her small , intelligent eyes as steady as any noir villain , and to enjoy the perfectly pitched web of tension that Chabrol spins .	positive
Scotland looks wonderful , the fans are often funny fanatics , the showdown sure beats a bad day of golf .	positive
A dreary movie .	negative
While Guzmán frustratingly refuses to give Pinochet 's crimes a political context , his distance from the material is mostly admirable .	neutral
The kind of primal storytelling that George Lucas can only dream of .	positive
Naomi Watts is terrific as Rachel ; her petite frame and vulnerable persona emphasising her plight and isolation .	positive
